sep=,
"Time","co2-001.co2"
2023-10-16 14:30:50,966
2023-10-16 14:32:57,963
2023-10-16 14:35:04,975
2023-10-16 14:37:12,974
2023-10-16 14:39:19,973
2023-10-16 14:41:26,973
2023-10-16 14:45:40,974
2023-10-16 14:47:47,969
2023-10-16 14:49:54,969
2023-10-16 14:52:01,975
2023-10-16 14:54:08,984
2023-10-16 14:56:15,982
2023-10-16 14:58:22,983
2023-10-16 15:00:29,984
2023-10-16 15:02:36,976
2023-10-16 15:04:43,975
2023-10-16 15:06:48,975
2023-10-16 15:08:55,976
2023-10-16 15:11:02,968
2023-10-16 15:13:09,967
2023-10-16 15:15:16,967
2023-10-16 15:17:23,965
2023-10-16 15:19:30,964
2023-10-16 15:21:37,975
2023-10-16 15:23:44,976
2023-10-16 15:25:51,971
2023-10-16 15:27:58,968
2023-10-16 15:30:05,960
2023-10-16 15:32:12,961
2023-10-16 15:34:19,957
2023-10-16 15:36:26,957
2023-10-16 15:38:34,952
2023-10-16 15:40:41,947
2023-10-16 15:42:48,946
2023-10-16 15:44:55,949
2023-10-16 15:47:02,946
2023-10-16 15:49:09,946
2023-10-16 15:51:16,947
2023-10-16 15:53:23,942
2023-10-16 15:55:30,939
2023-10-16 15:57:37,936
2023-10-16 15:59:44,938
2023-10-16 16:01:51,940
2023-10-16 16:03:58,954
2023-10-16 16:06:05,930
2023-10-16 16:08:12,925
2023-10-16 16:10:19,926
2023-10-16 16:12:26,939
2023-10-16 16:14:33,950
2023-10-16 16:16:40,942
2023-10-16 16:18:47,917
2023-10-16 16:20:54,903
2023-10-16 16:23:01,895
2023-10-16 16:25:08,886
2023-10-16 16:27:15,876
2023-10-16 16:29:22,868
2023-10-16 16:31:29,860
2023-10-16 16:33:36,857
2023-10-16 16:35:43,851
2023-10-16 16:37:50,845
2023-10-16 16:39:57,838
2023-10-16 16:42:04,841
2023-10-16 16:44:11,844
2023-10-16 16:46:18,840
2023-10-16 16:48:25,839
2023-10-16 16:50:32,841
2023-10-16 16:52:40,840
2023-10-16 16:54:47,837
2023-10-16 16:56:54,833
2023-10-16 16:59:01,830
2023-10-16 17:01:08,827
2023-10-16 17:03:15,826
2023-10-16 17:05:22,822
2023-10-16 17:07:29,821
